start_date,avg_trip_duration
2019-10-01,519.1034563470391
2019-10-02,489.1325637447672
2019-10-03,507.1099269445638
2019-10-04,502.3697794462694
2019-10-05,529.6975832789027
2019-10-06,540.2795057520239
2019-10-07,515.5357023690357
2019-10-08,515.4543694020819
2019-10-09,512.1497682738434
2019-10-10,505.07017693819984
2019-10-11,475.8004881025015
2019-10-12,500.3075485799701
2019-10-13,522.7091085584857
2019-10-14,497.98104315039797
2019-10-15,495.01938976377954
2019-10-16,489.1441823744202
2019-10-17,492.546112804878
2019-10-18,501.65576186265844
2019-10-19,543.4861073644456
2019-10-20,519.4521739130435
2019-10-21,496.8957780725022
2019-10-22,482.14034891523147
2019-10-23,496.6638
2019-10-24,485.1139848701697
2019-10-25,489.66335118592195
2019-10-26,473.9172441907868
2019-10-27,526.6550028371478
2019-10-28,491.47460055096417
2019-10-29,482.4038772213247
2019-10-30,482.62534134352813
2019-10-31,469.95515695067263
2019-11-01,484.36475409836066
2019-11-02,479.08978494623653
2019-11-03,494.90295660467336
2019-11-04,496.1738075990299
2019-11-05,483.2122687439143
2019-11-06,481.1856416772554
2019-11-07,468.2870458135861
2019-11-08,467.4556087187666
2019-11-09,495.5315704263357
2019-11-10,489.1960201960202
2019-11-11,512.3089793641941
2019-11-12,493.1902322404372
2019-11-13,485.665910380034
2019-11-14,479.07144394232836
2019-11-15,483.40141955835963
2019-11-16,491.8586251621271
2019-11-17,473.2744742567078
2019-11-18,485.0076634344698
2019-11-19,477.8290903194422
2019-11-20,483.8235609103079
2019-11-21,482.7992018864502
2019-11-22,473.2827342747112
2019-11-23,475.9875
2019-11-24,486.86464646464646
2019-11-25,485.297289745739
2019-11-26,476.349300632305
2019-11-27,452.02637302882
2019-11-28,464.99814298978646
2019-11-29,495.7086152458277
2019-11-30,455.51602300739523
2019-12-01,457.991344873502
2019-12-02,473.7
2019-12-03,477.2628114715562
2019-12-04,480.3380092523504
2019-12-05,480.92143864598023
2019-12-06,469.2031119290614
2019-12-07,468.38296549580355
2019-12-08,469.312
2019-12-09,478.39607229753216
2019-12-10,460.723395088324
2019-12-11,472.6793269230769
2019-12-12,472.9533622559653
2019-12-13,481.3899266177452
2019-12-14,469.6689432063264
2019-12-15,455.3694117647059
2019-12-16,470.51572456320656
2019-12-17,469.4632468553459
2019-12-18,458.3271257044842
2019-12-19,471.48482311073894
2019-12-20,477.45088429575964
2019-12-21,497.95226039783
2019-12-22,507.90791027154665
2019-12-23,481.06398494471887
2019-12-24,478.11850501367365
2019-12-25,538.17194092827
2019-12-26,509.05392731535756
2019-12-27,474.14814814814815
2019-12-28,479.219398340249
2019-12-29,505.66096352994145
2019-12-30,458.3878216745197
2019-12-31,461.9432703003337
2020-01-01,1694.8206445586175
2020-01-02,1242.7352986572002
2020-01-03,761.3027164685908
2020-01-04,1818.680577345466
2020-01-05,1823.020428336079
2020-01-06,1096.583910646119
2020-01-07,773.2014526517747
2020-01-08,663.4854101670031
2020-01-09,2173.016607877719
2020-01-10,1553.1348077935756
2020-01-11,876.2549222797927
2020-01-12,863.8204983012457
2020-01-13,701.1504467912266
2020-01-14,842.1773029574076
2020-01-15,1570.9786528198472
2020-01-16,683.7053685168335
2020-01-17,851.045101088647
2020-01-18,1119.60780669145
2020-01-19,1492.2145251396648
2020-01-20,2666.9730559345157
2020-01-21,699.671293618662
2020-01-22,1002.1196953210011
2020-01-23,2265.679490727927
2020-01-24,1063.3762646978398
2020-01-25,1873.976273148148
2020-01-26,3205.508654602675
2020-01-27,720.2937915742793
2020-01-28,852.3758238466147
2020-01-29,806.609759876065
2020-01-30,713.4560523114355
2020-01-31,870.5945099484156
2020-02-01,2972.187578027466
2020-02-02,3927.091194388038
2020-02-03,727.5528991481176
2020-02-04,737.1603375527426
2020-02-05,691.9033699497301
2020-02-06,1590.1967970434248
2020-02-07,831.8854583571565
2020-02-08,2435.9311515899967
2020-02-09,4393.483764446891
2020-02-10,1211.8266434892541
2020-02-11,1683.7382571075402
2020-02-12,759.9379198046
2020-02-13,1048.2599670510708
2020-02-14,880.2886735716672
2020-02-15,1125.8241042345278
2020-02-16,1421.00614334471
2020-02-17,743.3334257975034
2020-02-18,1183.7071622846781
2020-02-19,757.429144851658
2020-02-20,678.7964511523556
2020-02-21,1044.1321473951716
2020-02-22,3001.008615948671
2020-02-23,2209.926593689633
2020-02-24,677.2595567455005
2020-02-25,699.8297232250301
2020-02-26,723.1738495252009
2020-02-27,693.531381486676
2020-02-28,2802.6406133133883
2020-02-29,1188.1022821006325
2020-03-01,2157.1516255227302
2020-03-02,1508.1634073185362
2020-03-03,764.6853248965685
2020-03-04,819.2036684135303
2020-03-05,887.0632482766961
2020-03-06,827.5578364288042
2020-03-07,1553.8132179621066
2020-03-08,2154.3486123545213
2020-03-09,825.0104328523862
2020-03-10,845.0334738724927
2020-03-11,858.4203905123837
2020-03-12,1049.8360282668582
2020-03-13,1153.971315529179
2020-03-14,1718.7824773413897
2020-03-15,2004.7420132610007
2020-03-16,958.0143408714837
2020-03-17,1241.6593906321054
2020-03-18,1070.4488151658768
2020-03-19,1904.7092907092906
2020-03-20,1306.9751179751179
2020-03-21,1904.2431796801504
2020-03-22,2352.528387585163
2020-03-23,1586.2451678535097
2020-03-24,1722.5026737967914
2020-03-25,2351.5467932571205
2020-03-26,2649.1856971153848
2020-03-27,6337.606711409396
2020-03-28,1495.4407484407484
2020-03-29,1514.8179329226557
2020-03-30,1148.5376676986584
2020-03-31,2923.342786683107
